Country,region,year,score,gdp,life_expectancy,freedom
Lesotho,Africa,2017,3.808,0.521,0.000,0.391
Liberia,Africa,2017,3.533,0.119,0.230,0.333
Libya,Africa,2017,5.525,1.102,0.520,0.466
Lithuania,Europe,2017,5.902,1.315,0.629,0.234
Luxembourg,Europe,2017,6.863,1.742,0.845,0.597
Madagascar,Africa,2017,3.644,0.306,0.375,0.189
Malawi,Africa,2017,3.970,0.233,0.315,0.467
Malaysia,Asia,2017,6.084,1.291,0.619,0.402
Mali,Africa,2017,4.190,0.476,0.169,0.307
Malta,Europe,2017,6.527,1.343,0.822,0.589
Mauritania,Africa,2017,4.292,0.648,0.285,0.096
Mauritius,Africa,2017,5.629,1.189,0.638,0.491
Mexico,North America,2017,6.578,1.153,0.710,0.413
Moldova,Europe,2017,5.838,0.729,0.589,0.241
Mongolia,Asia,2017,4.955,1.027,0.558,0.394
Montenegro,Europe,2017,5.237,1.121,0.667,0.195
Morocco,Africa,2017,5.235,0.878,0.598,0.408
Mozambique,Africa,2017,4.550,0.234,0.107,0.481
Myanmar,Asia,2017,4.545,0.367,0.398,0.514
Namibia,Africa,2017,4.574,0.964,0.339,0.520
Nepal,Asia,2017,4.962,0.480,0.504,0.440
Netherlands,Europe,2017,7.377,1.504,0.811,0.585
New Zealand,Oceania,2017,7.314,1.406,0.817,0.614
Nicaragua,North America,2017,6.071,0.737,0.653,0.448
Niger,Africa,2017,4.028,0.162,0.269,0.364
Nigeria,Africa,2017,5.074,0.784,0.057,0.395
North Macedonia,Europe,2017,0.000,0.000,0.000,0.000
Northern Cyprus,Asia,2017,0.000,0.000,0.000,0.000
Norway,Europe,2017,7.537,1.616,0.797,0.635
Pakistan,Asia,2017,5.269,0.727,0.402,0.235
Palestinian Territories,Asia,2017,4.775,0.716,0.566,0.255
Panama,North America,2017,6.452,1.234,0.706,0.550
Paraguay,South America,2017,5.493,0.933,0.579,0.474
Peru,South America,2017,5.715,1.035,0.630,0.450
Philippines,Asia,2017,5.430,0.858,0.468,0.585
Poland,Europe,2017,5.973,1.292,0.699,0.520
Portugal,Europe,2017,5.195,1.315,0.796,0.498
Qatar,Asia,2017,6.375,1.871,0.710,0.604
Romania,Europe,2017,5.825,1.218,0.685,0.457
Russia,Europe,2017,5.963,1.282,0.547,0.374
Rwanda,Africa,2017,3.471,0.369,0.326,0.582
Saudi Arabia,Asia,2017,6.344,1.531,0.590,0.450
Senegal,Africa,2017,4.535,0.479,0.409,0.378
Serbia,Europe,2017,5.395,1.069,0.651,0.209
Sierra Leone,Africa,2017,4.709,0.368,0.006,0.319
Singapore,Asia,2017,6.572,1.692,0.949,0.550
Slovakia,Europe,2017,6.098,1.325,0.713,0.296
Slovenia,Europe,2017,5.758,1.341,0.791,0.573
Somalia,Africa,2017,5.151,0.023,0.114,0.602
South Africa,Africa,2017,4.829,1.055,0.187,0.479
South Korea,Asia,2017,5.838,1.402,0.900,0.258
South Sudan,Africa,2017,3.591,0.397,0.163,0.147
Spain,Europe,2017,6.403,1.384,0.889,0.409
Sri Lanka,Asia,2017,4.440,1.010,0.625,0.561
Swaziland,Africa,2017,0.000,0.000,0.000,0.000
Sweden,Europe,2017,7.284,1.494,0.831,0.613
Switzerland,Europe,2017,7.494,1.565,0.858,0.620
Syria,Asia,2017,3.462,0.777,0.501,0.082
Taiwan,Asia,2017,0.000,0.000,0.000,0.000
Tajikistan,Asia,2017,5.041,0.525,0.529,0.472
Tanzania,Africa,2017,3.349,0.511,0.365,0.390
Thailand,Asia,2017,6.424,1.128,0.647,0.580
Togo,Africa,2017,3.495,0.305,0.247,0.380
Trinidad & Tobago,South America,2017,0.000,0.000,0.000,0.000
Tunisia,Africa,2017,4.805,1.007,0.613,0.290
Turkey,Asia,2017,5.500,1.198,0.638,0.301
Turkmenistan,Asia,2017,5.822,1.131,0.438,0.418
Uganda,Africa,2017,4.081,0.381,0.218,0.443
Ukraine,Europe,2017,4.096,0.895,0.576,0.123
United Arab Emirates,Asia,2017,6.648,1.626,0.727,0.608
United Kingdom,Europe,2017,6.714,1.442,0.805,0.508
United States,North America,2017,6.993,1.546,0.774,0.506
Uruguay,South America,2017,6.454,1.218,0.719,0.579
Uzbekistan,Asia,2017,5.971,0.786,0.498,0.658
Venezuela,South America,2017,5.250,1.128,0.617,0.154
Vietnam,Asia,2017,5.074,0.789,0.652,0.571
Yemen,Asia,2017,3.593,0.592,0.310,0.249
Zambia,Africa,2017,4.514,0.636,0.258,0.462
Zimbabwe,Africa,2017,3.875,0.376,0.197,0.336
Afghanistan,Asia,2016,3.360,0.382,0.173,0.164
Albania,Europe,2016,4.655,0.955,0.730,0.319
Algeria,Africa,2016,6.355,1.053,0.618,0.210
Argentina,South America,2016,6.650,1.151,0.697,0.423
Armenia,Asia,2016,4.360,0.861,0.641,0.140
Australia,Oceania,2016,7.313,1.444,0.851,0.568
Austria,Europe,2016,7.119,1.450,0.806,0.544
Azerbaijan,Asia,2016,5.291,1.124,0.545,0.353
Bahrain,Asia,2016,6.218,1.440,0.657,0.474
Bangladesh,Asia,2016,4.643,0.542,0.530,0.398
Belarus,Europe,2016,5.802,1.131,0.631,0.291
Belgium,Europe,2016,6.929,1.425,0.820,0.514
Benin,Africa,2016,3.484,0.395,0.210,0.397
Bhutan,Asia,2016,5.196,0.853,0.498,0.461
Bolivia,South America,2016,5.822,0.794,0.470,0.510
Bosnia and Herzegovina,Europe,2016,5.163,0.934,0.708,0.095
Botswana,Africa,2016,3.974,1.094,0.348,0.441
Brazil,South America,2016,6.952,1.088,0.614,0.404
Bulgaria,Europe,2016,4.217,1.113,0.678,0.212
Burkina Faso,Africa,2016,3.739,0.320,0.213,0.334
Burundi,Africa,2016,2.905,0.068,0.157,0.043
Cambodia,Asia,2016,3.907,0.556,0.425,0.589
Cameroon,Africa,2016,4.513,0.525,0.127,0.427
Canada,North America,2016,7.404,1.440,0.828,0.574
Central African Republic,Africa,2016,0.000,0.000,0.000,0.000
Chad,Africa,2016,3.763,0.422,0.038,0.128
Chile,South America,2016,6.705,1.217,0.819,0.378
China,Asia,2016,5.245,1.028,0.736,0.440
Colombia,South America,2016,6.481,1.030,0.597,0.447
Comoros,Africa,2016,3.956,0.275,0.300,0.154
Congo (Brazzaville),Africa,2016,4.236,0.771,0.282,0.379
Congo (Kinshasa),Africa,2016,4.272,0.057,0.188,0.156
Costa Rica,North America,2016,7.087,1.069,0.761,0.552
Croatia,Europe,2016,5.488,1.186,0.705,0.239
Cyprus,Europe,2016,5.546,1.319,0.849,0.295
Czech Republic,Europe,2016,6.596,1.309,0.764,0.414
Denmark,Europe,2016,7.526,1.442,0.795,0.579
Dominican Republic,North America,2016,5.155,1.028,0.577,0.523
Ecuador,South America,2016,5.976,0.973,0.686,0.403
Egypt,Africa,2016,4.362,0.954,0.521,0.188
El Salvador,North America,2016,6.068,0.874,0.596,0.373
Estonia,Europe,2016,5.517,1.280,0.681,0.415
Ethiopia,Africa,2016,4.508,0.293,0.346,0.367
Finland,Europe,2016,7.413,1.406,0.811,0.571
France,Europe,2016,6.478,1.395,0.838,0.466
Gabon,Africa,2016,4.121,1.159,0.349,0.281
Gambia,Africa,2016,0.000,0.000,0.000,0.000
Georgia,Asia,2016,4.252,0.838,0.640,0.325
Germany,Europe,2016,6.994,1.448,0.815,0.535
Ghana,Africa,2016,4.276,0.631,0.297,0.410
Greece,Europe,2016,5.033,1.249,0.800,0.058
Guatemala,North America,2016,6.324,0.835,0.540,0.504
Guinea,Africa,2016,3.607,0.224,0.188,0.310
Haiti,North America,2016,4.028,0.341,0.275,0.121
Honduras,North America,2016,4.871,0.694,0.584,0.268
Hong Kong,Asia,2016,5.458,1.511,0.953,0.481
Hungary,Europe,2016,5.145,1.241,0.676,0.198
Iceland,Europe,2016,7.501,1.427,0.867,0.566
India,Asia,2016,4.404,0.740,0.451,0.403
Indonesia,Asia,2016,5.314,0.951,0.494,0.392
Iran,Asia,2016,4.813,1.118,0.642,0.225
Iraq,Asia,2016,4.575,1.075,0.511,0.249
Ireland,Europe,2016,6.907,1.483,0.815,0.540
Israel,Asia,2016,7.267,1.338,0.849,0.364
Italy,Europe,2016,5.977,1.355,0.851,0.188
Ivory Coast,Africa,2016,3.916,0.555,0.045,0.407
Jamaica,North America,2016,5.510,0.893,0.595,0.436
Japan,Asia,2016,5.921,1.380,0.915,0.468
Jordan,Asia,2016,5.303,0.997,0.607,0.360
Kazakhstan,Asia,2016,5.919,1.229,0.574,0.405
Kenya,Africa,2016,4.356,0.523,0.301,0.406
Kosovo,Europe,2016,5.401,0.901,0.540,0.144
Kuwait,Asia,2016,6.239,1.617,0.636,0.432
Kyrgyzstan,Asia,2016,5.185,0.560,0.554,0.402
Laos,Asia,2016,4.876,0.680,0.383,0.522
Latvia,Europe,2016,5.560,1.218,0.640,0.280
Lebanon,Asia,2016,5.129,1.123,0.762,0.262
Lesotho,Africa,2016,0.000,0.000,0.000,0.000
Liberia,Africa,2016,3.622,0.107,0.232,0.257
Libya,Africa,2016,5.615,1.067,0.523,0.407
Lithuania,Europe,2016,5.813,1.269,0.647,0.189
Luxembourg,Europe,2016,6.871,1.698,0.845,0.549
Madagascar,Africa,2016,3.695,0.280,0.371,0.137
Malawi,Africa,2016,4.156,0.087,0.294,0.414
Malaysia,Asia,2016,6.005,1.251,0.624,0.390
Mali,Africa,2016,4.073,0.313,0.163,0.275
Malta,Europe,2016,6.488,1.308,0.803,0.550
Mauritania,Africa,2016,4.201,0.614,0.286,0.127
Mauritius,Africa,2016,5.648,1.144,0.662,0.461
Mexico,North America,2016,6.778,1.115,0.711,0.377
Moldova,Europe,2016,5.897,0.692,0.523,0.252
Mongolia,Asia,2016,4.907,0.989,0.555,0.360
Montenegro,Europe,2016,5.161,1.078,0.635,0.151
Morocco,Africa,2016,5.151,0.841,0.595,0.256
Mozambique,Africa,2016,0.000,0.000,0.000,0.000
Myanmar,Asia,2016,4.395,0.341,0.399,0.427
Namibia,Africa,2016,4.574,0.933,0.347,0.486
Nepal,Asia,2016,4.793,0.446,0.501,0.370
Netherlands,Europe,2016,7.339,1.465,0.812,0.552
New Zealand,Oceania,2016,7.334,1.361,0.831,0.581
Nicaragua,North America,2016,5.992,0.694,0.652,0.466
Niger,Africa,2016,3.856,0.133,0.262,0.380
Nigeria,Africa,2016,4.875,0.752,0.051,0.279
North Macedonia,Europe,2016,0.000,0.000,0.000,0.000
Northern Cyprus,Asia,2016,0.000,0.000,0.000,0.000
Norway,Europe,2016,7.498,1.577,0.796,0.596
Pakistan,Asia,2016,5.132,0.688,0.403,0.146
Palestinian Territories,Asia,2016,4.754,0.670,0.568,0.177
Panama,North America,2016,6.701,1.183,0.708,0.489
Paraguay,South America,2016,5.538,0.894,0.583,0.462
Peru,South America,2016,5.743,0.996,0.630,0.375
Philippines,Asia,2016,5.279,0.812,0.470,0.549
Poland,Europe,2016,5.835,1.246,0.691,0.452
Portugal,Europe,2016,5.123,1.276,0.794,0.447
Qatar,Asia,2016,6.375,1.824,0.717,0.567
Romania,Europe,2016,5.528,1.170,0.676,0.367
Russia,Europe,2016,5.856,1.232,0.590,0.327
Rwanda,Africa,2016,3.515,0.328,0.319,0.543
Saudi Arabia,Asia,2016,6.379,1.490,0.593,0.379
Senegal,Africa,2016,4.219,0.443,0.405,0.311
Serbia,Europe,2016,5.177,1.034,0.646,0.157
Sierra Leone,Africa,2016,4.635,0.365,0.000,0.307
Singapore,Asia,2016,6.739,1.646,0.947,0.488
Slovakia,Europe,2016,6.078,1.280,0.704,0.234
Slovenia,Europe,2016,5.768,1.299,0.792,0.532
Somalia,Africa,2016,5.440,0.000,0.115,0.568
South Africa,Africa,2016,4.459,1.024,0.186,0.425
South Korea,Asia,2016,5.835,1.359,0.886,0.252
South Sudan,Africa,2016,3.832,0.394,0.158,0.197
Spain,Europe,2016,6.361,1.343,0.879,0.375
Sri Lanka,Asia,2016,4.415,0.973,0.620,0.508
Swaziland,Africa,2016,0.000,0.000,0.000,0.000
Sweden,Europe,2016,7.291,1.452,0.831,0.582
Switzerland,Europe,2016,7.509,1.527,0.863,0.586
Syria,Asia,2016,3.069,0.747,0.630,0.069
Taiwan,Asia,2016,6.379,1.397,0.796,0.324
Tajikistan,Asia,2016,4.996,0.488,0.531,0.434
Tanzania,Africa,2016,3.666,0.472,0.357,0.318
Thailand,Asia,2016,6.474,1.089,0.649,0.496
Togo,Africa,2016,3.303,0.281,0.248,0.347
Trinidad & Tobago,South America,2016,0.000,0.000,0.000,0.000
Tunisia,Africa,2016,5.045,0.977,0.596,0.236
Turkey,Asia,2016,5.389,1.165,0.647,0.239
Turkmenistan,Asia,2016,5.658,1.080,0.440,0.374
Uganda,Africa,2016,3.739,0.347,0.196,0.437
Ukraine,Europe,2016,4.324,0.873,0.586,0.129
United Arab Emirates,Asia,2016,6.573,1.574,0.730,0.562
United Kingdom,Europe,2016,6.725,1.403,0.810,0.500
United States,North America,2016,7.104,1.508,0.779,0.482
Uruguay,South America,2016,6.545,1.182,0.722,0.544
Uzbekistan,Asia,2016,5.987,0.736,0.502,0.608
Venezuela,South America,2016,6.084,1.134,0.619,0.198
Vietnam,Asia,2016,5.061,0.740,0.662,0.560
Yemen,Asia,2016,3.724,0.579,0.310,0.229
Zambia,Africa,2016,4.795,0.612,0.236,0.427
Zimbabwe,Africa,2016,4.193,0.350,0.160,0.254
Afghanistan,Asia,2015,3.575,0.320,0.303,0.234
Albania,Europe,2015,4.959,0.879,0.813,0.357
Algeria,Africa,2015,5.605,0.939,0.618,0.286
Argentina,South America,2015,6.574,1.054,0.787,0.450
Armenia,Asia,2015,4.350,0.768,0.730,0.198
Australia,Oceania,2015,7.284,1.334,0.932,0.651
Austria,Europe,2015,7.200,1.337,0.890,0.624
Azerbaijan,Asia,2015,5.212,1.024,0.640,0.370
Bahrain,Asia,2015,5.960,1.324,0.747,0.455
Bangladesh,Asia,2015,4.694,0.398,0.602,0.408
Belarus,Europe,2015,5.813,1.032,0.736,0.379
Belgium,Europe,2015,6.937,1.308,0.897,0.585
Benin,Africa,2015,3.340,0.287,0.319,0.485
Bhutan,Asia,2015,5.253,0.770,0.574,0.532
Bolivia,South America,2015,5.890,0.681,0.539,0.574
Bosnia and Herzegovina,Europe,2015,4.949,0.832,0.791,0.092
Botswana,Africa,2015,4.332,0.994,0.048,0.495
Brazil,South America,2015,6.983,0.981,0.697,0.490
Bulgaria,Europe,2015,4.218,1.012,0.766,0.306
Burkina Faso,Africa,2015,3.587,0.258,0.271,0.395
Burundi,Africa,2015,2.905,0.015,0.224,0.119
Cambodia,Asia,2015,3.819,0.460,0.611,0.662
Cameroon,Africa,2015,4.252,0.423,0.234,0.493
Canada,North America,2015,7.427,1.326,0.906,0.633
Central African Republic,Africa,2015,3.678,0.079,0.067,0.489
Chad,Africa,2015,3.667,0.342,0.150,0.235
Chile,South America,2015,6.670,1.107,0.859,0.441
China,Asia,2015,5.140,0.890,0.817,0.517
Colombia,South America,2015,6.477,0.919,0.691,0.535
Comoros,Africa,2015,3.956,0.239,0.363,0.229
Congo (Brazzaville),Africa,2015,3.989,0.679,0.311,0.415
Congo (Kinshasa),Africa,2015,4.517,0.000,0.098,0.226
Costa Rica,North America,2015,7.226,0.956,0.860,0.634
Croatia,Europe,2015,5.759,1.083,0.788,0.259
Cyprus,Europe,2015,5.689,1.208,0.924,0.407
Czech Republic,Europe,2015,6.505,1.179,0.845,0.464
Denmark,Europe,2015,7.527,1.325,0.875,0.649
Dominican Republic,North America,2015,4.885,0.895,0.668,0.577
Ecuador,South America,2015,5.975,0.864,0.791,0.486
Egypt,Africa,2015,4.194,0.882,0.617,0.173
El Salvador,North America,2015,6.130,0.765,0.677,0.404
Estonia,Europe,2015,5.429,1.152,0.774,0.449
Ethiopia,Africa,2015,4.512,0.191,0.441,0.435
Finland,Europe,2015,7.406,1.290,0.889,0.642
France,Europe,2015,6.575,1.278,0.946,0.550
Gabon,Africa,2015,3.896,1.060,0.434,0.319
Gambia,Africa,2015,0.000,0.000,0.000,0.000
Georgia,Asia,2015,4.297,0.742,0.729,0.406
Germany,Europe,2015,6.750,1.328,0.892,0.615
Ghana,Africa,2015,4.633,0.546,0.401,0.423
Greece,Europe,2015,4.857,1.154,0.882,0.077
Guatemala,North America,2015,6.123,0.746,0.644,0.577
Guinea,Africa,2015,3.656,0.174,0.240,0.377
Haiti,North America,2015,4.518,0.267,0.388,0.244
Honduras,North America,2015,4.788,0.595,0.695,0.401
Hong Kong,Asia,2015,5.474,1.386,1.013,0.596
Hungary,Europe,2015,4.800,1.121,0.759,0.321
Iceland,Europe,2015,7.561,1.302,0.948,0.629
India,Asia,2015,4.565,0.645,0.515,0.398
Indonesia,Asia,2015,5.399,0.828,0.638,0.466
Iran,Asia,2015,4.686,1.009,0.698,0.300
Iraq,Asia,2015,4.677,0.985,0.602,0.000
Ireland,Europe,2015,6.940,1.336,0.895,0.618
Israel,Asia,2015,7.278,1.229,0.914,0.413
Italy,Europe,2015,5.948,1.251,0.954,0.262
Ivory Coast,Africa,2015,3.655,0.465,0.152,0.469
Jamaica,North America,2015,5.709,0.810,0.687,0.504
Japan,Asia,2015,5.987,1.271,0.991,0.496
Jordan,Asia,2015,5.192,0.902,0.696,0.407
Kazakhstan,Asia,2015,5.855,1.123,0.644,0.516
Kenya,Africa,2015,4.419,0.365,0.414,0.422
Kosovo,Europe,2015,5.589,0.801,0.631,0.247
Kuwait,Asia,2015,6.295,1.554,0.725,0.555
Kyrgyzstan,Asia,2015,5.286,0.474,0.651,0.435
Laos,Asia,2015,4.876,0.591,0.549,0.596
Latvia,Europe,2015,5.098,1.113,0.724,0.297
Lebanon,Asia,2015,4.839,1.026,0.839,0.339
Lesotho,Africa,2015,4.898,0.375,0.076,0.318
Liberia,Africa,2015,4.571,0.071,0.342,0.285
Libya,Africa,2015,5.754,1.131,0.704,0.417
Lithuania,Europe,2015,5.833,1.147,0.731,0.213
Luxembourg,Europe,2015,6.946,1.564,0.919,0.616
Madagascar,Africa,2015,3.681,0.208,0.467,0.192
Malawi,Africa,2015,4.292,0.016,0.226,0.431
Malaysia,Asia,2015,5.770,1.125,0.724,0.530
Mali,Africa,2015,3.995,0.261,0.206,0.389
Malta,Europe,2015,6.302,1.207,0.887,0.604
Mauritania,Africa,2015,4.436,0.454,0.359,0.242
Mauritius,Africa,2015,5.477,1.008,0.710,0.561
Mexico,North America,2015,7.187,1.021,0.814,0.482
Moldova,Europe,2015,5.889,0.594,0.618,0.328
Mongolia,Asia,2015,4.874,0.828,0.603,0.436
Montenegro,Europe,2015,5.192,0.974,0.725,0.183
Morocco,Africa,2015,5.013,0.735,0.610,0.417
Mozambique,Africa,2015,4.971,0.083,0.091,0.340
Myanmar,Asia,2015,4.307,0.271,0.482,0.440
Namibia,Africa,2015,0.000,0.000,0.000,0.000
Nepal,Asia,2015,4.514,0.360,0.569,0.383
Netherlands,Europe,2015,7.378,1.329,0.893,0.616
New Zealand,Oceania,2015,7.286,1.250,0.908,0.639
Nicaragua,North America,2015,5.828,0.593,0.743,0.555
Niger,Africa,2015,3.845,0.069,0.297,0.477
Nigeria,Africa,2015,5.268,0.654,0.160,0.343
North Macedonia,Europe,2015,0.000,0.000,0.000,0.000
Northern Cyprus,Asia,2015,0.000,0.000,0.000,0.000
Norway,Europe,2015,7.522,1.459,0.885,0.670
Pakistan,Asia,2015,5.194,0.595,0.515,0.121
Palestinian Territories,Asia,2015,4.715,0.599,0.660,0.245
Panama,North America,2015,6.786,1.064,0.797,0.542
Paraguay,South America,2015,5.878,0.760,0.661,0.539
Peru,South America,2015,5.824,0.900,0.730,0.415
Philippines,Asia,2015,5.073,0.705,0.581,0.625
Poland,Europe,2015,5.791,1.126,0.779,0.531
Portugal,Europe,2015,5.102,1.160,0.875,0.515
Qatar,Asia,2015,6.611,1.690,0.797,0.640
Romania,Europe,2015,5.124,1.043,0.769,0.351
Russia,Europe,2015,5.716,1.138,0.669,0.367
Rwanda,Africa,2015,3.465,0.222,0.429,0.592
Saudi Arabia,Asia,2015,6.411,1.395,0.720,0.310
Senegal,Africa,2015,3.904,0.365,0.435,0.368
Serbia,Europe,2015,5.123,0.921,0.748,0.201
Sierra Leone,Africa,2015,4.507,0.330,0.000,0.408
Singapore,Asia,2015,6.798,1.522,1.025,0.543
Slovakia,Europe,2015,5.995,1.169,0.789,0.318
Slovenia,Europe,2015,5.848,1.185,0.873,0.609
Somalia,Africa,2015,0.000,0.000,0.000,0.000
South Africa,Africa,2015,4.642,0.920,0.277,0.332
South Korea,Asia,2015,5.984,1.245,0.965,0.332
South Sudan,Africa,2015,0.000,0.000,0.000,0.000
Spain,Europe,2015,6.329,1.230,0.956,0.460
Sri Lanka,Asia,2015,4.271,0.835,0.708,0.537
Swaziland,Africa,2015,4.867,0.712,0.076,0.307
Sweden,Europe,2015,7.364,1.332,0.911,0.660
Switzerland,Europe,2015,7.587,1.397,0.941,0.666
Syria,Asia,2015,3.006,0.663,0.722,0.157
Taiwan,Asia,2015,6.298,1.291,0.875,0.397
Tajikistan,Asia,2015,4.786,0.390,0.574,0.472
Tanzania,Africa,2015,3.781,0.285,0.382,0.329
Thailand,Asia,2015,6.455,0.967,0.739,0.557
Togo,Africa,2015,2.839,0.209,0.284,0.365
Trinidad & Tobago,South America,2015,0.000,0.000,0.000,0.000
Tunisia,Africa,2015,4.739,0.881,0.738,0.263
Turkey,Asia,2015,5.332,1.061,0.732,0.228
Turkmenistan,Asia,2015,5.548,0.958,0.539,0.476
Uganda,Africa,2015,3.931,0.211,0.339,0.457
Ukraine,Europe,2015,4.681,0.799,0.674,0.251
United Arab Emirates,Asia,2015,6.901,1.427,0.809,0.642
United Kingdom,Europe,2015,6.867,1.266,0.909,0.596
United States,North America,2015,7.119,1.395,0.862,0.546
Uruguay,South America,2015,6.485,1.062,0.812,0.604
Uzbekistan,Asia,2015,6.003,0.632,0.598,0.658
Venezuela,South America,2015,6.810,1.044,0.721,0.429
Vietnam,Asia,2015,5.360,0.632,0.747,0.594
Yemen,Asia,2015,4.077,0.546,0.401,0.356
Zambia,Africa,2015,5.129,0.470,0.299,0.488
Zimbabwe,Africa,2015,4.610,0.271,0.335,0.259
